ANNEE;INSEE;COMMUNE;SINISTRE
"2009";"68193";"LUTTENBACH-PRES-MUNSTER";"CHUTE D'AVION"
"2009";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2010";"68362";"WENTZWILLER";"CHUTE D'AVION"
"2010";"68141";"HOCHSTATT";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68140";"HIRTZFELDEN";"CHUTE D'AVION"
"2010";"68101";"GALFINGUE";"CHUTE D'AVION"
"2010";"68049";"BOUXWILLER";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68343";"UNGERSHEIM";"CHUTE D'AVION"
"2010";"68224";"MULHOUSE";"CHUTE D'AVION"
"2010";"68344";"URBES";"CHUTE D'AVION"
"2010";"68127";"HEIDWILLER";"CHUTE D'AVION"
"2010";"68351";"VOGELGRUN";"CHUTE D'AVION"
"2010";"68281";"ROGGENHOUSE";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68128";"HEIMERSDORF";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68049";"BOUXWILLER";"CHUTE D'AVION"
"2010";"68344";"URBES";"CHUTE D'AVION"
"2010";"68327";"STETTEN";"CHUTE D'AVION"
"2010";"68337";"TRAUBACH-LE-HAUT";"CHUTE D'AVION"
"2010";"68126";"HEGENHEIM";"CHUTE D'AVION"
"2010";"68051";"BREITENBACH-HAUT-RHIN";"CHUTE D'AVION"
"2010";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2010";"68051";"BREITENBACH-HAUT-RHIN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68063";"CERNAY";"CHUTE D'AVION"
"2010";"68079";"ELBACH";"CHUTE D'AVION"
"2010";"68249";"ORBEY";"CHUTE D'AVION"
"2010";"68045";"BOURBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68275";"RIMBACH-PRES-MASEVAUX";"CHUTE D'AVION"
"2010";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68330";"STRUETH";"CHUTE D'AVION"
"2010";"68364";"WESTHALTEN";"CHUTE D'AVION"
"2010";"68330";"STRUETH";"CHUTE D'AVION"
"2010";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2010";"68023";"BEBLENHEIM";"CHUTE D'AVION"
"2010";"68327";"STETTEN";"CHUTE D'AVION"
"2010";"68307";"SEWEN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68315";"SOULTZ-HAUT-RHIN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68201";"MASEVAUX";"CHUTE D'AVION"
"2010";"68157";"JEBSHEIM";"CHUTE D'AVION"
"2010";"68113";"GUEMAR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68126";"HEGENHEIM";"CHUTE D'AVION"
"2010";"68023";"BEBLENHEIM";"CHUTE D'AVION"
"2010";"68330";"STRUETH";"CHUTE D'AVION"
"2010";"68089";"FELLERING";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68361";"WEGSCHEID";"CHUTE D'AVION"
"2010";"68330";"STRUETH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68074";"DURLINSDORF";"CHUTE D'AVION"
"2010";"68036";"BIESHEIM";"CHUTE D'AVION"
"2010";"68275";"RIMBACH-PRES-MASEVAUX";"CHUTE D'AVION"
"2010";"68291";"RUMERSHEIM-LE-HAUT";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68382";"ZAESSINGUE";"CHUTE D'AVION"
"2010";"68004";"ALTKIRCH";"CHUTE D'AVION"
"2010";"68127";"HEIDWILLER";"CHUTE D'AVION"
"2010";"68260";"RAEDERSHEIM";"CHUTE D'AVION"
"2010";"68100";"FULLEREN";"CHUTE D'AVION"
"2010";"68113";"GUEMAR";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68033";"BETTENDORF";"CHUTE D'AVION"
"2010";"68245";"OBERMORSCHWILLER";"CHUTE D'AVION"
"2010";"68275";"RIMBACH-PRES-MASEVAUX";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68039";"BISEL";"CHUTE D'AVION"
"2010";"68224";"MULHOUSE";"CHUTE D'AVION"
"2010";"68362";"WENTZWILLER";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68060";"BURNHAUPT-LE-HAUT";"CHUTE D'AVION"
"2010";"68318";"SOULTZMATT";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68139";"HIRTZBACH";"CHUTE D'AVION"
"2010";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2010";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68199";"MALMERSPACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68073";"DOLLEREN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2010";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2010";"68099";"FROENINGEN";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68125";"HECKEN";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68231";"NEUF-BRISACH";"CHUTE D'AVION"
"2010";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2010";"68320";"SPECHBACH-LE-HAUT";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68062";"CARSPACH";"CHUTE D'AVION"
"2010";"68179";"LAUW";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68225";"MUNCHHOUSE";"CHUTE D'AVION"
"2010";"68316";"SOULTZBACH-LES-BAINS";"CHUTE D'AVION"
"2010";"68224";"MULHOUSE";"CHUTE D'AVION"
"2010";"68033";"BETTENDORF";"CHUTE D'AVION"
"2010";"68267";"REININGUE";"CHUTE D'AVION"
"2010";"68266";"REGUISHEIM";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68289";"RUELISHEIM";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68213";"MOLLAU";"CHUTE D'AVION"
"2010";"68091";"FESSENHEIM";"CHUTE D'AVION"
"2010";"68074";"DURLINSDORF";"CHUTE D'AVION"
"2010";"68351";"VOGELGRUN";"CHUTE D'AVION"
"2010";"68212";"MOERNACH";"CHUTE D'AVION"
"2010";"68105";"GILDWILLER";"CHUTE D'AVION"
"2010";"68318";"SOULTZMATT";"CHUTE D'AVION"
"2010";"68288";"RUEDERBACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68045";"BOURBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68245";"OBERMORSCHWILLER";"CHUTE D'AVION"
"2010";"68354";"WALBACH";"CHUTE D'AVION"
"2010";"68362";"WENTZWILLER";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68210";"MITTLACH";"CHUTE D'AVION"
"2010";"68306";"SEPPOIS-LE-HAUT";"CHUTE D'AVION"
"2010";"68186";"LIGSDORF";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68288";"RUEDERBACH";"CHUTE D'AVION"
"2010";"68250";"ORSCHWIHR";"CHUTE D'AVION"
"2010";"68105";"GILDWILLER";"CHUTE D'AVION"
"2010";"68089";"FELLERING";"CHUTE D'AVION"
"2010";"68326";"STERNENBERG";"CHUTE D'AVION"
"2010";"68379";"WOLFGANTZEN";"CHUTE D'AVION"
"2010";"68091";"FESSENHEIM";"CHUTE D'AVION"
"2010";"68179";"LAUW";"CHUTE D'AVION"
"2010";"68302";"SCHWEIGHOUSE-THANN";"CHUTE D'AVION"
"2010";"68347";"VIEUX-FERRETTE";"CHUTE D'AVION"
"2010";"68113";"GUEMAR";"CHUTE D'AVION"
"2010";"68093";"FLAXLANDEN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68250";"ORSCHWIHR";"CHUTE D'AVION"
"2010";"68104";"GEISWASSER";"CHUTE D'AVION"
"2010";"68358";"WASSERBOURG";"CHUTE D'AVION"
"2010";"68004";"ALTKIRCH";"CHUTE D'AVION"
"2010";"68290";"RUSTENHART";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68045";"BOURBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68250";"ORSCHWIHR";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68033";"BETTENDORF";"CHUTE D'AVION"
"2010";"68091";"FESSENHEIM";"CHUTE D'AVION"
"2010";"68336";"TRAUBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68152";"ILLFURTH";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68378";"WOLFERSDORF";"CHUTE D'AVION"
"2010";"68329";"STOSSWIHR";"CHUTE D'AVION"
"2010";"68219";"MORTZWILLER";"CHUTE D'AVION"
"2010";"68180";"LEIMBACH";"CHUTE D'AVION"
"2010";"68169";"KOESTLACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68021";"BARTENHEIM";"CHUTE D'AVION"
"2010";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2010";"68239";"OBERBRUCK";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68237";"NIEDERMORSCHWIHR";"CHUTE D'AVION"
"2010";"68351";"VOGELGRUN";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68213";"MOLLAU";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68133";"HENFLINGEN";"CHUTE D'AVION"
"2010";"68060";"BURNHAUPT-LE-HAUT";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68133";"HENFLINGEN";"CHUTE D'AVION"
"2010";"68224";"MULHOUSE";"CHUTE D'AVION"
"2010";"68289";"RUELISHEIM";"CHUTE D'AVION"
"2010";"68129";"HEIMSBRUNN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68319";"SPECHBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68128";"HEIMERSDORF";"CHUTE D'AVION"
"2010";"68138";"HIRSINGUE";"CHUTE D'AVION"
"2010";"68129";"HEIMSBRUNN";"CHUTE D'AVION"
"2010";"68063";"OBERBRUCK";"CHUTE D'AVION"
"2010";"68229";"MURBACH";"CHUTE D'AVION"
"2010";"68229";"MURBACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68240";"OBERDORF";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68089";"FELLERING";"CHUTE D'AVION"
"2010";"68023";"BEBLENHEIM";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68229";"MURBACH";"CHUTE D'AVION"
"2010";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68379";"WOLFGANTZEN";"CHUTE D'AVION"
"2010";"68307";"SEWEN";"CHUTE D'AVION"
"2010";"68128";"HEIMERSDORF";"CHUTE D'AVION"
"2010";"68303";"SCHWOBEN";"CHUTE D'AVION"
"2010";"68344";"URBES";"CHUTE D'AVION"
"2010";"68311";"SONDERNACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68310";"SIGOLSHEIM";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68050";"BRECHAUMONT";"CHUTE D'AVION"
"2010";"68089";"FELLERING";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68153";"ILLHAEUSERN";"CHUTE D'AVION"
"2010";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2010";"68085";"ETEIMBES";"CHUTE D'AVION"
"2010";"68162";"KAYSERSBERG";"CHUTE D'AVION"
"2010";"68303";"SCHWOBEN";"CHUTE D'AVION"
"2010";"68277";"RIQUEWIHR";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68113";"GUEMAR";"CHUTE D'AVION"
"2010";"68077";"EGLINGEN";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68077";"EGLINGEN";"CHUTE D'AVION"
"2010";"68120";"HAGENTHAL-LE-BAS";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68024";"BELLEMAGNY";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68334";"THANN";"CHUTE D'AVION"
"2010";"68252";"OSTHEIM";"CHUTE D'AVION"
"2010";"68344";"URBES";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68139";"HIRTZBACH";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68356";"WALHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68045";"BOURBACH-LE-BAS";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2010";"68031";"BERNWILLER";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68052";"BRETTEN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68327";"STETTEN";"CHUTE D'AVION"
"2010";"68193";"LUTTENBACH-PRES-MUNSTER";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68344";"URBES";"CHUTE D'AVION"
"2010";"68231";"NEUF-BRISACH";"CHUTE D'AVION"
"2010";"68249";"ORBEY";"CHUTE D'AVION"
"2010";"68351";"VOGELGRUN";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2010";"68034";"BETTLACH";"CHUTE D'AVION"
"2010";"68012";"ASPACH-LE-HAUT";"CHUTE D'AVION"
"2010";"68347";"VIEUX-FERRETTE";"CHUTE D'AVION"
"2010";"68060";"BURNHAUPT-LE-HAUT";"CHUTE D'AVION"
"2010";"68078";"EGUISHEIM";"CHUTE D'AVION"
"2010";"68290";"RUSTENHART";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68077";"EGLINGEN";"CHUTE D'AVION"
"2010";"68021";"BARTENHEIM";"CHUTE D'AVION"
"2010";"68079";"ELBACH";"CHUTE D'AVION"
"2010";"68355";"WALDIGHOFEN";"CHUTE D'AVION"
"2010";"68180";"LEIMBACH";"CHUTE D'AVION"
"2010";"68306";"SEPPOIS-LE-HAUT";"CHUTE D'AVION"
"2010";"68385";"ZIMMERBACH";"CHUTE D'AVION"
"2010";"68139";"HIRTZBACH";"CHUTE D'AVION"
"2010";"68193";"LUTTENBACH-PRES-MUNSTER";"CHUTE D'AVION"
"2010";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2010";"68192";"VALDIEU-LUTRAN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68106";"GOLDBACH-ALTENBACH";"CHUTE D'AVION"
"2010";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2010";"68287";"ROUFFACH";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68239";"OBERBRUCK";"CHUTE D'AVION"
"2010";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2010";"68093";"FLAXLANDEN";"CHUTE D'AVION"
"2010";"68353";"WAHLBACH";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68384";"ZILLISHEIM";"CHUTE D'AVION"
"2010";"68040";"GALFINGUE";"CHUTE D'AVION"
"2010";"68279";"RODEREN";"CHUTE D'AVION"
"2010";"68381";"WUENHEIM";"CHUTE D'AVION"
"2010";"68040";"BITSCHWILLER-LES-THANN";"CHUTE D'AVION"
"2010";"68132";"HELFRANTZKIRCH";"CHUTE D'AVION"
"2010";"68215";"MONTREUX-VIEUX";"CHUTE D'AVION"
"2010";"68141";"HOCHSTATT";"CHUTE D'AVION"
"2010";"68224";"MULHOUSE";"CHUTE D'AVION"
"2010";"68016";"BALGAU";"CHUTE D'AVION"
"2010";"68213";"MOLLAU";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68033";"BETTENDORF";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68195";"LUTTERBACH";"CHUTE D'AVION"
"2010";"68330";"STRUETH";"CHUTE D'AVION"
"2010";"68097";"FRELAND";"CHUTE D'AVION"
"2010";"68193";"LUTTENBACH-PRES-MUNSTER";"CHUTE D'AVION"
"2010";"68288";"RUEDERBACH";"CHUTE D'AVION"
"2010";"68189";"LOGELHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2010";"68303";"SCHWOBEN";"CHUTE D'AVION"
"2010";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68367";"WIDENSOLEN";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68162";"KAYSERSBERG";"CHUTE D'AVION"
"2010";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2010";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2010";"68145";"HORBOURG-WIHR";"CHUTE D'AVION"
"2010";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68129";"HEIMSBRUNN";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2010";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2011";"68333";"TAGSDORF";"CHUTE D'AVION"
"2011";"68333";"TAGSDORF";"CHUTE D'AVION"
"2011";"68140";"HIRTZFELDEN";"CHUTE D'AVION"
"2011";"68344";"URBES";"CHUTE D'AVION"
"2011";"68360";"WECKOLSHEIM";"CHUTE D'AVION"
"2011";"68330";"STRUETH";"CHUTE D'AVION"
"2011";"68153";"ILLHAEUSERN";"CHUTE D'AVION"
"2011";"68107";"GOMMERSDORF";"CHUTE D'AVION"
