ANNEE;INSEE;COMMUNE;SINISTRE
"2009";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2009";"68066";"COLMAR";"CHUTE D'AVION"
"2009";"68093";"FLAXLANDEN";"CHUTE D'AVION"
"2009";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2009";"68327";"STETTEN";"CHUTE D'AVION"
"2009";"68241";"OBERENTZEN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68181";"LEVONCOURT";"CHUTE D'AVION"
"2009";"68192";"VALDIEU-LUTRAN";"CHUTE D'AVION"
"2009";"68319";"STETTEN";"CHUTE D'AVION"
"2009";"68086";"FALKWILLER";"CHUTE D'AVION"
"2009";"68141";"HOCHSTATT";"CHUTE D'AVION"
"2009";"68242";"OBERHERGHEIM";"CHUTE D'AVION"
"2009";"68289";"RUELISHEIM";"CHUTE D'AVION"
"2009";"68293";"SAINT-COSME";"CHUTE D'AVION"
"2009";"68384";"ZILLISHEIM";"CHUTE D'AVION"
"2009";"68060";"BURNHAUPT-LE-HAUT";"CHUTE D'AVION"
"2009";"68093";"FLAXLANDEN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68348";"VIEUX-THANN";"CHUTE D'AVION"
"2009";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68227";"MUNTZENHEIM";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68210";"MITTLACH";"CHUTE D'AVION"
"2009";"68089";"FELLERING";"CHUTE D'AVION"
"2009";"68327";"STETTEN";"CHUTE D'AVION"
"2009";"68356";"WALHEIM";"CHUTE D'AVION"
"2009";"68066";"COLMAR";"CHUTE D'AVION"
"2009";"68362";"WENTZWILLER";"CHUTE D'AVION"
"2009";"68190";"LUCELLE";"CHUTE D'AVION"
"2009";"68077";"EGLINGEN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2009";"68129";"HEIMSBRUNN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68353";"WAHLBACH";"CHUTE D'AVION"
"2009";"68056";"BRUNSTATT";"CHUTE D'AVION"
"2009";"68128";"HEIMERSDORF";"CHUTE D'AVION"
"2009";"68233";"NIEDERBRUCK";"CHUTE D'AVION"
"2009";"68351";"VOGELGRUN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68288";"RUEDERBACH";"CHUTE D'AVION"
"2009";"68278";"RIXHEIM";"CHUTE D'AVION"
"2009";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2009";"68056";"BRUNSTATT";"CHUTE D'AVION"
"2009";"68045";"BOURBACH-LE-BAS";"CHUTE D'AVION"
"2009";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68327";"STETTEN";"CHUTE D'AVION"
"2009";"68058";"BUHL";"CHUTE D'AVION"
"2009";"68156";"ISSENHEIM";"CHUTE D'AVION"
"2009";"68334";"THANN";"CHUTE D'AVION"
"2009";"68077";"EGLINGEN";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68127";"HEIDWILLER";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68155";"INGERSHEIM";"CHUTE D'AVION"
"2009";"68330";"STRUETH";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68039";"BISEL";"CHUTE D'AVION"
"2009";"68212";"MOERNACH";"CHUTE D'AVION"
"2009";"68095";"FORTSCHWIHR";"CHUTE D'AVION"
"2009";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2009";"68136";"HETTENSCHLAG";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68343";"UNGERSHEIM";"CHUTE D'AVION"
"2009";"68110";"GRUSSENHEIM";"CHUTE D'AVION"
"2009";"68039";"BISEL";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68023";"BEBLENHEIM";"CHUTE D'AVION"
"2009";"68330";"STRUETH";"CHUTE D'AVION"
"2009";"68278";"RIXHEIM";"CHUTE D'AVION"
"2009";"68026";"BENNWIHR";"CHUTE D'AVION"
"2009";"68368";"WIHR-AU-VAL";"CHUTE D'AVION"
"2009";"68267";"REININGUE";"CHUTE D'AVION"
"2009";"68378";"WOLFERSDORF";"CHUTE D'AVION"
"2009";"68113";"GUEMAR";"CHUTE D'AVION"
"2009";"68199";"MALMERSPACH";"CHUTE D'AVION"
"2009";"68201";"MASEVAUX";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
"2009";"68029";"BERGHOLTZ";"CHUTE D'AVION"
"2009";"68139";"HIRTZBACH";"CHUTE D'AVION"
"2009";"68381";"WUENHEIM";"CHUTE D'AVION"
"2009";"68327";"STETTEN";"CHUTE D'AVION"
"2009";"68128";"HEIMERSDORF";"CHUTE D'AVION"
"2009";"68272";"RIEDWIHR";"CHUTE D'AVION"
