dpt_code;dpt_libelle;dpt_latitude;dpt_longitude
01;AIN;46.390396;5.363522
01;AIN;46.3887;5.36711
01;AIN;46.386036;5.3702927
01;AIN;46.38233;5.3778787
01;AIN;46.379723;5.375157
01;AIN;46.373085;5.3650694
01;AIN;46.37003;5.36347
01;AIN;46.361668;5.376477
01;AIN;46.35844;5.375763
01;AIN;46.355335;5.3746405
01;AIN;46.35224;5.3734665
01;AIN;46.33612;5.4027247
01;AIN;46.3328;5.401693
01;AIN;46.319187;5.404357
01;AIN;46.315674;5.4040422
01;AIN;46.314774;5.4040565
01;AIN;46.309925;5.4065766
01;AIN;46.309113;5.4102325
01;AIN;46.342876;5.4169383
01;AIN;46.34774;5.4235325
01;AIN;46.31847;5.4359465
01;AIN;46.315136;5.437147
01;AIN;46.31801;5.4544787
01;AIN;46.32248;5.4608936
01;AIN;46.323547;5.465179
01;AIN;46.31654;5.4714804
01;AIN;46.31539;5.475301
01;AIN;46.31219;5.4740896
01;AIN;46.293247;5.46653
01;AIN;46.29054;5.458997
01;AIN;46.27685;5.457667
01;AIN;46.26722;5.471306
01;AIN;46.26523;5.4753714
01;AIN;46.268208;5.49959
01;AIN;46.27022;5.502601
01;AIN;46.265495;5.507507
01;AIN;46.264366;5.511375
01;AIN;46.26891;5.5392957
01;AIN;46.28352;5.559467
01;AIN;46.286587;5.5615706
01;AIN;46.29278;5.564678
01;AIN;46.293243;5.582606
01;AIN;46.29252;5.587252
01;AIN;46.2979;5.5978885
01;AIN;46.30944;5.604636
01;AIN;46.311268;5.6074347
01;AIN;46.313644;5.605667
01;AIN;46.32657;5.6127477
01;AIN;46.333366;5.635101
01;AIN;46.33645;5.637459
01;AIN;46.34282;5.6460886
01;AIN;46.337303;5.649213
01;AIN;46.334198;5.6498027
01;AIN;46.324795;5.645279
01;AIN;46.3239;5.6684775
01;AIN;46.31844;5.6802316
01;AIN;46.31588;5.6833224
01;AIN;46.310936;5.684578
01;AIN;46.308083;5.7145495
01;AIN;46.2943;5.718982
