forecast;position;timestamp;2_metre_temperature;minimum_temperature_at_2_metres;maximum_temperature_at_2_metres;relative_humidity;total_water_precipitation;wind_speed;downward_short_wave_radiation_flux;surface_latent_heat_flux;surface_sensible_heat_flux;surface_net_solar_radiation;surface_net_thermal_radiation;dist
2020-10-31T04:00:00;"49.075,6.15";2020-10-30T03:00:00;10.254785000000027;10.25332000000003;11.379052999999999;92.652;0.066406;1.573964;1415249.625;-1916921;1164096.0;1200755.375;-1062905.0;""
2020-10-31T06:00:00;"49.075,6.15";2020-10-30T03:00:00;8.362451000000021;8.360742000000016;9.050927999999999;94.461449;0.066406;0.283177;1415249.625;-1902355;1169325.0;1200755.375;-1461930.0;""
2020-10-30T03:00:00;"49.075,6.175";2020-10-30T03:00:00;13.275780999999995;;;85.450722;;3.738571;;;;;;""
2020-10-30T06:00:00;"49.075,6.175";2020-10-30T03:00:00;13.001367000000016;12.978905999999995;13.206934000000047;83.310234;0.000488;4.347836;0.0;-224195;379258.625;0.0;-195353.0;""
2020-10-30T15:00:00;"49.075,6.175";2020-10-30T03:00:00;13.492090000000019;13.316309000000047;13.512598000000025;82.972168;0.076172;3.332059;1277133.0;-1641356;979661.0;1069839.625;-468411.0;""
2020-10-30T18:00:00;"49.075,6.175";2020-10-30T03:00:00;12.919824000000006;12.900293000000033;13.08046900000005;85.315819;0.076172;3.08017;1328209.625;-1802082;1126349.0;1112691.375;-566966.0;""
2020-10-31T06:00:00;"49.075,6.175";2020-10-30T03:00:00;8.096826000000021;8.095117000000016;8.894677999999999;94.680199;0.076172;0.486302;1328209.625;-1846035;1267629.0;1112691.375;-1363370.0;""
2020-10-31T07:00:00;"49.075,6.175";2020-10-30T03:00:00;7.484033000000011;7.471582000000012;8.036767999999995;94.873817;0.076172;0.338804;1375825.625;-1837216;1269753.0;1152115.375;-1577283.0;""
2020-10-30T07:00:00;"49.075,6.2";2020-10-30T03:00:00;13.15249;13.011377000000039;13.149805000000015;79.175491;0.0;5.847378;23672.0;-273867;412529.0;19976.0;-228861.0;""
2020-10-30T20:00:00;"49.075,6.2";2020-10-30T03:00:00;12.470361000000025;12.462549000000024;12.689111000000025;87.941093;0.092773;1.746715;1246033.625;-1565569;815823.0;1059443.375;-646058.0;""
2020-10-30T22:00:00;"49.075,6.2";2020-10-30T03:00:00;12.185204999999996;12.185693000000015;12.355127000000039;89.023399;0.092773;1.402071;1246033.625;-1577149;833761.0;1059443.375;-702110.0;""
2020-10-31T06:00:00;"49.075,6.2";2020-10-30T03:00:00;9.427881000000014;9.438867000000016;9.910302999999999;90.398949;0.092773;0.830052;1246033.625;-1582867;896941.0;1059443.375;-1338026.0;""
2020-10-31T15:00:00;"49.075,6.2";2020-10-30T03:00:00;16.12490200000002;16.115137000000004;16.395898000000045;74.289009;0.09375;3.449008;10034450.0;-4015504;-303490.0;8446123.0;-4534432.0;""
